Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,experiment_group,Experiment,Instrument,Library Name,library_strategy,LibraryLayout,LibrarySelection,LibrarySource,mouse_id_number,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,strain,tissue,treatment
SRR23914359,RNA-Seq,300,4346147100,PRJNA946653,SAMN33826979,1608811668,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726047,Illumina NovaSeq 6000,GSM7105520,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,84,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:10:00Z,1,GSM7105520,male,Pons,SRP428176,C57BL/6JN,Pons,PBS
SRR23914360,RNA-Seq,300,1118173500,PRJNA946653,SAMN33826980,423378678,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726046,Illumina NovaSeq 6000,GSM7105519,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,81,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:03:00Z,1,GSM7105519,male,Pons,SRP428176,C57BL/6JN,Pons,YMP
SRR23914361,RNA-Seq,300,1290498900,PRJNA946653,SAMN33826981,481164001,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Young Plasma Injection,SRX19726045,Illumina NovaSeq 6000,GSM7105518,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,80,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:02:00Z,1,GSM7105518,male,Pons,SRP428176,C57BL/6JN,Pons,PBS
SRR23914362,RNA-Seq,300,4996375800,PRJNA946653,SAMN33826982,1832273071,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Young Plasma Injection,SRX19726044,Illumina NovaSeq 6000,GSM7105517,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,77,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:12:00Z,1,GSM7105517,male,Pons,SRP428176,C57BL/6JN,Pons,YMP
SRR23914363,RNA-Seq,300,2861468400,PRJNA946653,SAMN33826983,1047962586,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726043,Illumina NovaSeq 6000,GSM7105516,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,76,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:07:00Z,1,GSM7105516,male,Pons,SRP428176,C57BL/6JN,Pons,PBS
SRR23914364,RNA-Seq,300,5345019900,PRJNA946653,SAMN33826984,1948253122,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",Young Plasma Injection,SRX19726042,Illumina NovaSeq 6000,GSM7105515,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,73,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:33:00Z,1,GSM7105515,male,Pons,SRP428176,C57BL/6JN,Pons,YMP
SRR23914365,RNA-Seq,300,5554324800,PRJNA946653,SAMN33826985,2034200584,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",Young Plasma Injection,SRX19726041,Illumina NovaSeq 6000,GSM7105514,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,84,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:12:00Z,1,GSM7105514,male,Choroid plexus,SRP428176,C57BL/6JN,Choroid plexus,PBS
SRR23914366,RNA-Seq,300,6107785200,PRJNA946653,SAMN33826986,2253812300,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726040,Illumina NovaSeq 6000,GSM7105513,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,81,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:09:00Z,1,GSM7105513,male,Choroid plexus,SRP428176,C57BL/6JN,Choroid plexus,YMP
SRR23914367,RNA-Seq,300,9641797500,PRJNA946653,SAMN33826987,3488092853,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Young Plasma Injection,SRX19726039,Illumina NovaSeq 6000,GSM7105512,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,80,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:16:00Z,1,GSM7105512,male,Choroid plexus,SRP428176,C57BL/6JN,Choroid plexus,PBS
SRR23914368,RNA-Seq,300,5957448000,PRJNA946653,SAMN33826988,2229872782,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Young Plasma Injection,SRX19726038,Illumina NovaSeq 6000,GSM7105511,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,77,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:13:00Z,1,GSM7105511,male,Choroid plexus,SRP428176,C57BL/6JN,Choroid plexus,YMP
SRR23914369,RNA-Seq,300,6230771400,PRJNA946653,SAMN33826989,2329006193,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Young Plasma Injection,SRX19726037,Illumina NovaSeq 6000,GSM7105510,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,76,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:14:00Z,1,GSM7105510,male,Choroid plexus,SRP428176,C57BL/6JN,Choroid plexus,PBS
SRR23914370,RNA-Seq,300,10129093500,PRJNA946653,SAMN33826990,3716087754,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",Young Plasma Injection,SRX19726036,Illumina NovaSeq 6000,GSM7105509,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,73,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:19:00Z,1,GSM7105509,male,Choroid plexus,SRP428176,C57BL/6JN,Choroid plexus,YMP
SRR23914371,RNA-Seq,300,10124313300,PRJNA946653,SAMN33826991,3696410299,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Young Plasma Injection,SRX19726035,Illumina NovaSeq 6000,GSM7105508,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,72,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:16:00Z,1,GSM7105508,male,Choroid plexus,SRP428176,C57BL/6JN,Choroid plexus,PBS
SRR23914372,RNA-Seq,300,5706689700,PRJNA946653,SAMN33826992,2166534363,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726034,Illumina NovaSeq 6000,GSM7105507,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,84,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:13:00Z,1,GSM7105507,male,Olfactory bulb,SRP428176,C57BL/6JN,Olfactory bulb,PBS
SRR23914373,RNA-Seq,300,5117443800,PRJNA946653,SAMN33827017,1852480831,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Young Plasma Injection,SRX19726033,Illumina NovaSeq 6000,GSM7105482,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,73,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:12:00Z,1,GSM7105482,male,Hippocampus (anterior),SRP428176,C57BL/6JN,Hippocampus (anterior),YMP
SRR23914374,RNA-Seq,300,7301687100,PRJNA946653,SAMN33827018,2652727054,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",Young Plasma Injection,SRX19726032,Illumina NovaSeq 6000,GSM7105481,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,72,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:16:00Z,1,GSM7105481,male,Hippocampus (anterior),SRP428176,C57BL/6JN,Hippocampus (anterior),PBS
SRR23914375,RNA-Seq,300,9903561900,PRJNA946653,SAMN33827019,3678782586,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Young Plasma Injection,SRX19726031,Illumina NovaSeq 6000,GSM7105480,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,84,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:19:00Z,1,GSM7105480,male,Hippocampus (posterior),SRP428176,C57BL/6JN,Hippocampus (posterior),PBS
SRR23914376,RNA-Seq,300,9804468000,PRJNA946653,SAMN33827020,3514573319,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726030,Illumina NovaSeq 6000,GSM7105479,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,81,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:15:00Z,1,GSM7105479,male,Hippocampus (posterior),SRP428176,C57BL/6JN,Hippocampus (posterior),YMP
SRR23914377,RNA-Seq,300,6581922900,PRJNA946653,SAMN33827021,2313232661,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Young Plasma Injection,SRX19726029,Illumina NovaSeq 6000,GSM7105478,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,80,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:14:00Z,1,GSM7105478,male,Hippocampus (posterior),SRP428176,C57BL/6JN,Hippocampus (posterior),PBS
SRR23914378,RNA-Seq,300,3001087200,PRJNA946653,SAMN33827022,1074939735,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Young Plasma Injection,SRX19726028,Illumina NovaSeq 6000,GSM7105477,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,77,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:07:00Z,1,GSM7105477,male,Hippocampus (posterior),SRP428176,C57BL/6JN,Hippocampus (posterior),YMP
SRR23914379,RNA-Seq,300,8581660800,PRJNA946653,SAMN33827023,3089922915,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Young Plasma Injection,SRX19726027,Illumina NovaSeq 6000,GSM7105476,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,76,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:18:00Z,1,GSM7105476,male,Hippocampus (posterior),SRP428176,C57BL/6JN,Hippocampus (posterior),PBS
SRR23914380,RNA-Seq,300,3199219200,PRJNA946653,SAMN33827024,1181393433,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726026,Illumina NovaSeq 6000,GSM7105475,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,73,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:08:00Z,1,GSM7105475,male,Hippocampus (posterior),SRP428176,C57BL/6JN,Hippocampus (posterior),YMP
SRR23914381,RNA-Seq,300,12751161300,PRJNA946653,SAMN33827025,4671583165,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",Young Plasma Injection,SRX19726025,Illumina NovaSeq 6000,GSM7105474,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,84,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:27:00Z,1,GSM7105474,male,Entorhinal cortex,SRP428176,C57BL/6JN,Entorhinal cortex,PBS
SRR23914382,RNA-Seq,300,7444757400,PRJNA946653,SAMN33827026,2686682498,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",Young Plasma Injection,SRX19726024,Illumina NovaSeq 6000,GSM7105473,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,81,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:16:00Z,1,GSM7105473,male,Entorhinal cortex,SRP428176,C57BL/6JN,Entorhinal cortex,YMP
SRR23914383,RNA-Seq,300,5868154800,PRJNA946653,SAMN33827027,2139495556,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",Young Plasma Injection,SRX19726023,Illumina NovaSeq 6000,GSM7105472,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,80,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:13:00Z,1,GSM7105472,male,Entorhinal cortex,SRP428176,C57BL/6JN,Entorhinal cortex,PBS
SRR23914384,RNA-Seq,300,3929577600,PRJNA946653,SAMN33827028,1433758319,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Young Plasma Injection,SRX19726022,Illumina NovaSeq 6000,GSM7105471,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,77,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:09:00Z,1,GSM7105471,male,Entorhinal cortex,SRP428176,C57BL/6JN,Entorhinal cortex,YMP
SRR23914385,RNA-Seq,300,1886703300,PRJNA946653,SAMN33827029,697814653,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Young Plasma Injection,SRX19726021,Illumina NovaSeq 6000,GSM7105470,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,76,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:05:00Z,1,GSM7105470,male,Entorhinal cortex,SRP428176,C57BL/6JN,Entorhinal cortex,PBS
SRR23914386,RNA-Seq,300,4109497500,PRJNA946653,SAMN33827030,1499652209,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Young Plasma Injection,SRX19726020,Illumina NovaSeq 6000,GSM7105469,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,73,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:08:00Z,1,GSM7105469,male,Entorhinal cortex,SRP428176,C57BL/6JN,Entorhinal cortex,YMP
SRR23914387,RNA-Seq,300,6346642800,PRJNA946653,SAMN33827031,2342568852,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",Young Plasma Injection,SRX19726019,Illumina NovaSeq 6000,GSM7105468,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,72,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:12:00Z,1,GSM7105468,male,Entorhinal cortex,SRP428176,C57BL/6JN,Entorhinal cortex,PBS
SRR23914388,RNA-Seq,300,5990907000,PRJNA946653,SAMN33827032,2197600573,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726018,Illumina NovaSeq 6000,GSM7105467,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,84,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:13:00Z,1,GSM7105467,male,Caudate putamen,SRP428176,C57BL/6JN,Caudate putamen,PBS
SRR23914389,RNA-Seq,300,11122824900,PRJNA946653,SAMN33827033,4054221399,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",Young Plasma Injection,SRX19726017,Illumina NovaSeq 6000,GSM7105466,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,81,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:17:00Z,1,GSM7105466,male,Caudate putamen,SRP428176,C57BL/6JN,Caudate putamen,YMP
SRR23914390,RNA-Seq,300,6239594700,PRJNA946653,SAMN33827034,2303729227,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726016,Illumina NovaSeq 6000,GSM7105465,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,80,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:12:00Z,1,GSM7105465,male,Caudate putamen,SRP428176,C57BL/6JN,Caudate putamen,PBS
SRR23914391,RNA-Seq,300,2562773100,PRJNA946653,SAMN33827035,945553070,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Young Plasma Injection,SRX19726015,Illumina NovaSeq 6000,GSM7105464,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,77,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:06:00Z,1,GSM7105464,male,Caudate putamen,SRP428176,C57BL/6JN,Caudate putamen,YMP
SRR23914392,RNA-Seq,300,3579166500,PRJNA946653,SAMN33827036,1299165679,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",Young Plasma Injection,SRX19726014,Illumina NovaSeq 6000,GSM7105463,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,76,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:07:00Z,1,GSM7105463,male,Caudate putamen,SRP428176,C57BL/6JN,Caudate putamen,PBS
