Gene Symbol	Gene name\
Bri3	brain protein I3\
Brms1	breast cancer metastasis-suppressor 1\
Btbd11	BTB (POZ) domain containing 11\
Btbd17	BTB (POZ) domain containing 17\
Btbd6	BTB (POZ) domain containing 6\
C2	complement component 2 (within H-2S)\
Cacna1e	calcium channel, voltage-dependent, R type, alpha 1E subunit\
Cacna2d3	calcium channel, voltage-dependent, alpha2/delta subunit 3\
Cacng4	calcium channel, voltage-dependent, gamma subunit 4\
Cast	calpastatin\
Cav2	caveolin 2\
Cbfb	core binding factor beta\
Ccdc117	coiled-coil domain containing 117\
Ccdc177	coiled-coil domain containing 177\
Ccdc88c	coiled-coil domain containing 88C\
Ccdc9b	coiled-coil domain containing 9B\
Ccl19	chemokine (C-C motif) ligand 19\
Ccnl1	cyclin L1\
Cd46	CD46 antigen, complement regulatory protein\
Cd70	CD70 antigen\
Cda	cytidine deaminase\
Cdc7	cell division cycle 7 (S. cerevisiae)\
Cdh1	cadherin 1\
Cdk2ap2	CDK2-associated protein 2\
Cdyl	chromodomain protein, Y chromosome-like\
Cemip	cell migration inducing protein, hyaluronan binding\
Cep95	centrosomal protein 95\
Cers4	ceramide synthase 4\
Cfap69	cilia and flagella associated protein 69\
Chchd3	coiled-coil-helix-coiled-coil-helix domain containing 3\
Chd5	chromodomain helicase DNA binding protein 5\
Chd9	chromodomain helicase DNA binding protein 9\
Chmp4c	charged multivesicular body protein 4C\
Chmp5	charged multivesicular body protein 5\
Chmp6	charged multivesicular body protein 6\
Chst12	carbohydrate sulfotransferase 12\
Chst5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5\
Chst9	carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 9\
Cisd2	CDGSH iron sulfur domain 2\
Clic6	chloride intracellular channel 6\
Clip1	CAP-GLY domain containing linker protein 1\
Clk4	CDC like kinase 4\
Cltb	clathrin, light polypeptide (Lcb)\
Cmpk2	cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial\
Cmtm3	CKLF-like MARVEL transmembrane domain containing 3\
Cnot7	CCR4-NOT transcription complex, subunit 7\
Cnpy1	canopy FGF signaling regulator 1\
Cnpy4	canopy FGF signaling regulator 4\
Cntn6	contactin 6\
Cobl	cordon-bleu WH2 repeat\
Col13a1	collagen, type XIII, alpha 1\
Col23a1	collagen, type XXIII, alpha 1\
Col27a1	collagen, type XXVII, alpha 1\
Colgalt1	collagen beta(1-O)galactosyltransferase 1\
Cops7a	COP9 signalosome subunit 7A\
Cracr2b	calcium release activated channel regulator 2B\
Cramp1l	cramped chromatin regulator homolog 1\
Crocc	ciliary rootlet coiled-coil, rootletin\
Csmd1	CUB and Sushi multiple domains 1\
Csnk1a1	casein kinase 1, alpha 1\
Csnk1g3	casein kinase 1, gamma 3\
Ctc1	CTS telomere maintenance complex component 1\
Ctnnbl1	catenin, beta like 1\
Cxcl12	chemokine (C-X-C motif) ligand 12\
Dbpht2	DNA binding protein with his-thr domain\
Dctn4	dynactin 4\
Dcxr	dicarbonyl L-xylulose reductase\
Ddr2	discoidin domain receptor family, member 2\
Ddx39b	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B\
Desi2	desumoylating isopeptidase 2\
Dhcr7	7-dehydrocholesterol reductase\
Dhdh	dihydrodiol dehydrogenase (dimeric)\
Dhx35	DEAH (Asp-Glu-Ala-His) box polypeptide 35\
Dipk1c	divergent protein kinase domain 1C\
Dmap1	DNA methyltransferase 1-associated protein 1\
Dnajc4	DnaJ heat shock protein family (Hsp40) member C4\
Dnm1l	dynamin 1-like\
Dpf3	D4, zinc and double PHD fingers, family 3\
Drosha	drosha, ribonuclease type III\
Dtna	dystrobrevin alpha\
Ebp	phenylalkylamine Ca2+ antagonist (emopamil) binding protein\
Efhc2	EF-hand domain (C-terminal) containing 2\
Egr4	early growth response 4\
Eif3h	eukaryotic translation initiation factor 3, subunit H\
Elavl4	ELAV like RNA binding protein 4\
Elk4	ELK4, member of ETS oncogene family\
Elmo3	engulfment and cell motility 3\
Emc1	ER membrane protein complex subunit 1\
Epha8	Eph receptor A8\
Epor	erythropoietin receptor\
Esrrb	estrogen related receptor, beta\
Etaa1	Ewing tumor-associated antigen 1\
Ets2	E26 avian leukemia oncogene 2, 3' domain\
Etv5	ets variant 5\
Exoc3l	exocyst complex component 3-like\
Fabp3	fatty acid binding protein 3, muscle and heart\
Fabp5	fatty acid binding protein 5, epidermal\
Fam71d	family with sequence similarity 71, member D\
Fance	Fanconi anemia, complementation group E\
Fbf1	Fas (TNFRSF6) binding factor 1\
Fblim1	filamin binding LIM protein 1\
Fbln7	fibulin 7\
Fbxl22	F-box and leucine-rich repeat protein 22\
Fbxl8	F-box and leucine-rich repeat protein 8\
Fbxo21	F-box protein 21\
Fbxw7	F-box and WD-40 domain protein 7\
Fer	fer (fms/fps related) protein kinase\
Fgd4	FYVE, RhoGEF and PH domain containing 4\
Fgf7	fibroblast growth factor 7\
Fgf9	fibroblast growth factor 9\
Fgfr1	fibroblast growth factor receptor 1\
Fgfr1op	Fgfr1 oncogene partner\
Flot1	flotillin 1\
Fmo1	flavin containing monooxygenase 1\
Fmod	fibromodulin\
Foxj1	forkhead box J1\
Foxn2	forkhead box N2\
Foxn3	forkhead box N3\
Foxred2	FAD-dependent oxidoreductase domain containing 2\
Frmd6	FERM domain containing 6\
Frmpd3	FERM and PDZ domain containing 3\
Ftsj1	FtsJ RNA methyltransferase homolog 1 (E. coli)\
Gabrg2	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 2\
Gabrr2	gamma-aminobutyric acid (GABA) C receptor, subunit rho 2\
Galns	galactosamine (N-acetyl)-6-sulfate sulfatase\
Galnt13	polypeptide N-acetylgalactosaminyltransferase 13\
Gba2	glucosidase beta 2\
Gbp10	guanylate-binding protein 10\
Gfm1	G elongation factor, mitochondrial 1\
Gid4	GID complex subunit 4, VID24 homolog\
Gipc2	GIPC PDZ domain containing family, member 2\
Gnaq	guanine nucleotide binding protein, alpha q polypeptide\
Gng7	guanine nucleotide binding protein (G protein), gamma 7\
Gnmt	glycine N-methyltransferase\
Golga2	golgi autoantigen, golgin subfamily a, 2\
Gopc	golgi associated PDZ and coiled-coil motif containing\
Gpc1	glypican 1\
Gpc4	glypican 4\
Gpc5	glypican 5\
Gpcpd1	glycerophosphocholine phosphodiesterase 1\
Gphn	gephyrin\
Gpr153	G protein-coupled receptor 153\
Gpr157	G protein-coupled receptor 157\
Gpr182	G protein-coupled receptor 182\
Gprin2	G protein regulated inducer of neurite outgrowth 2\
Gramd2	GRAM domain containing 2\
Grhpr	glyoxylate reductase/hydroxypyruvate reductase\
Grm4	glutamate receptor, metabotropic 4\
Grpel2	GrpE-like 2, mitochondrial\
Gspt1	G1 to S phase transition 1\
Gucy1a1	guanylate cyclase 1, soluble, alpha 1\
Haghl	hydroxyacylglutathione hydrolase-like\
Hap1	huntingtin-associated protein 1\
Haus3	HAUS augmin-like complex, subunit 3\
Haus4	HAUS augmin-like complex, subunit 4\
Hbb-bt	hemoglobin, beta adult t chain\
Hdac11	histone deacetylase 11\
Hectd2	HECT domain E3 ubiquitin protein ligase 2\
Hk1	hexokinase 1\
Hlf	hepatic leukemia factor\
Hmgcll1	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1\
Hmox1	heme oxygenase 1\
Hnrnpm	heterogeneous nuclear ribonucleoprotein M\
Hrh1	histamine receptor H1\
Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1\
Hspb8	heat shock protein 8\
Hydin	HYDIN, axonemal central pair apparatus protein\
Ibsp	integrin binding sialoprotein\
Ice2	interactor of little elongation complex ELL subunit 2\
Ide	insulin degrading enzyme\
Iffo2	intermediate filament family orphan 2\
Ifi208	interferon activated gene 208\
Igbp1	immunoglobulin (CD79A) binding protein 1\
Ikzf2	IKAROS family zinc finger 2\
Il13ra1	interleukin 13 receptor, alpha 1\
Il20rb	interleukin 20 receptor beta\
Il34	interleukin 34\
Iltifb	interleukin 10-related T cell-derived inducible factor beta\
Impa2	inositol (myo)-1(or 4)-monophosphatase 2\
Ina	internexin neuronal intermediate filament protein, alpha\
Ing2	inhibitor of growth family, member 2\
Inpp4a	inositol polyphosphate-4-phosphatase, type I\
Ints6	integrator complex subunit 6\
Ints7	integrator complex subunit 7\
Ip6k2	inositol hexaphosphate kinase 2\
Ipcef1	interaction protein for cytohesin exchange factors 1\
Isoc1	isochorismatase domain containing 1\
Itm2c	integral membrane protein 2C\
Itpr3	inositol 1,4,5-triphosphate receptor 3\
Jag2	jagged 2\
Josd1	Josephin domain containing 1\
Jun	jun proto-oncogene\
Kcnb2	potassium voltage gated channel, Shab-related subfamily, member 2\
Kcnc4	potassium voltage gated channel, Shaw-related subfamily, member 4\
Kcnj6	potassium inwardly-rectifying channel, subfamily J, member 6\
Kcnj9	potassium inwardly-rectifying channel, subfamily J, member 9\
Kcnma1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1\
Kdm8	lysine (K)-specific demethylase 8\
Khk	ketohexokinase\
Kif19a	kinesin family member 19A\
Klhl26	kelch-like 26\
Klhl32	kelch-like 32\
Kptn	kaptin\
Krt24	keratin 24\
Kyat3	kynurenine aminotransferase 3\
Lhpp	phospholysine phosphohistidine inorganic pyrophosphate phosphatase\
Lime1	Lck interacting transmembrane adaptor 1\
Lipo3	lipase, member O3\
Loxl2	lysyl oxidase-like 2\
Lrp8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor\
Lrrc2	leucine rich repeat containing 2\
Lrrc20	leucine rich repeat containing 20\
Lrrc29	leucine rich repeat containing 29\
Lrrc49	leucine rich repeat containing 49\
Lrrk2	leucine-rich repeat kinase 2\
Ltbr	lymphotoxin B receptor\
Ltc4s	leukotriene C4 synthase\
LTO1	ABCE maturation factor\
Lum	lumican\
Maml2	mastermind like transcriptional coactivator 2\
Maml3	mastermind like transcriptional coactivator 3\
Man2c1	mannosidase, alpha, class 2C, member 1\
Mcmbp	minichromosome maintenance complex binding protein\
Metrn	meteorin, glial cell differentiation regulator\
Mettl14	methyltransferase like 14\
Mfsd4a	major facilitator superfamily domain containing 4A\
Mgll	monoglyceride lipase\
Minar1	membrane integral NOTCH2 associated receptor 1\
Mir670hg	MIR670 host gene (non-protein coding)\
Mir99ahg	Mir99a and Mirlet7c-1 host gene (non-protein coding)\
Mkrn3	makorin, ring finger protein, 3\
Mlycd	malonyl-CoA decarboxylase\
Mmab	methylmalonic aciduria (cobalamin deficiency) cblB type homolog (human)\
Mmp16	matrix metallopeptidase 16\
Mnat1	menage a trois 1\
Mospd2	motile sperm domain containing 2\
Mphosph10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)\
Mphosph6	M phase phosphoprotein 6\
Mpped2	metallophosphoesterase domain containing 2\
Mpzl2	myelin protein zero-like 2\
Mpzl3	myelin protein zero-like 3\
Mrpl2	mitochondrial ribosomal protein L2\
Mslnl	mesothelin-like\
Msmo1	methylsterol monoxygenase 1\
Msrb3	methionine sulfoxide reductase B3\
mt-Cytb	NA\
mt-Nd3	NA\
mt-Nd4	NA\
Mthfd1l	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like\
Mtus1	mitochondrial tumor suppressor 1\
Mxra8	matrix-remodelling associated 8\
Naa30	N(alpha)-acetyltransferase 30, NatC catalytic subunit\
Naaladl2	N-acetylated alpha-linked acidic dipeptidase-like 2\
Nab1	Ngfi-A binding protein 1\
Naga	N-acetyl galactosaminidase, alpha\
Nagk	N-acetylglucosamine kinase\
Napg	N-ethylmaleimide sensitive fusion protein attachment protein gamma\
Nav3	neuron navigator 3\
Nbl1	NBL1, DAN family BMP antagonist\
Ncam2	neural cell adhesion molecule 2\
Ncor2	nuclear receptor co-repressor 2\
Necab3	N-terminal EF-hand calcium binding protein 3\
Net1	neuroepithelial cell transforming gene 1\
Neu2	neuraminidase 2\
Neurl1a	neuralized E3 ubiquitin protein ligase 1A\
Neurod1	neurogenic differentiation 1\
Nexmif	neurite extension and migration factor\
Nfe2l2	nuclear factor, erythroid derived 2, like 2\
Nfkbiz	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta\
Nhsl2	NHS-like 2\
Nipsnap1	nipsnap homolog 1\
Nlrx1	NLR family member X1\
Nmur1	neuromedin U receptor 1\
Nol3	nucleolar protein 3 (apoptosis repressor with CARD domain)\
Npas2	neuronal PAS domain protein 2\
Npepl1	aminopeptidase-like 1\
Nphp3	nephronophthisis 3 (adolescent)\
Npr2	natriuretic peptide receptor 2\
Nr0b2	nuclear receptor subfamily 0, group B, member 2\
Nr1h3	nuclear receptor subfamily 1, group H, member 3\
Nr6a1	nuclear receptor subfamily 6, group A, member 1\
Nsun5	NOL1/NOP2/Sun domain family, member 5\
Ntf3	neurotrophin 3\
Ntpcr	nucleoside-triphosphatase, cancer-related\
Nudt17	nudix (nucleoside diphosphate linked moiety X)-type motif 17\
Nvl	nuclear VCP-like\
Oas1c	2'-5' oligoadenylate synthetase 1C\
Ogn	osteoglycin\
Osbpl3	oxysterol binding protein-like 3\
Ostn	osteocrin\
Paip2	polyadenylate-binding protein-interacting protein 2\
Pamr1	peptidase domain containing associated with muscle regeneration 1\
Pank1	pantothenate kinase 1\
Pappa	pregnancy-associated plasma protein A\
Paqr8	progestin and adipoQ receptor family member VIII\
Parp8	poly (ADP-ribose) polymerase family, member 8\
Parva	parvin, alpha\
Pbxip1	pre B cell leukemia transcription factor interacting protein 1\
Pcdha1	protocadherin alpha 1\
Pcdha4	protocadherin alpha 4\
Pcdha5	protocadherin alpha 5\
Pcdha8	protocadherin alpha 8\
Pcdhb12	protocadherin beta 12\
Pcdhgc4	protocadherin gamma subfamily C, 4\
Pcdhgc5	protocadherin gamma subfamily C, 5\
Pcgf5	polycomb group ring finger 5\
Pclo	piccolo (presynaptic cytomatrix protein)\
Pcmtd2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2\
Pcyox1l	prenylcysteine oxidase 1 like\
Pcyt2	phosphate cytidylyltransferase 2, ethanolamine\
Pds5a	PDS5 cohesin associated factor A\
Pid1	phosphotyrosine interaction domain containing 1\
Pim2	proviral integration site 2\
Pip4p2	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2\
Pla2g15	phospholipase A2, group XV\
Pla2g4e	phospholipase A2, group IVE\
Plbd2	phospholipase B domain containing 2\
Plcd3	phospholipase C, delta 3\
Pld3	phospholipase D family, member 3\
Plekha1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1\
Plekha8	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8\
Plekhn1	pleckstrin homology domain containing, family N member 1\
Plk2	polo like kinase 2\
Plxnd1	plexin D1\
Podxl	podocalyxin-like\
Polr2a	polymerase (RNA) II (DNA directed) polypeptide A\
Polr2g	polymerase (RNA) II (DNA directed) polypeptide G\
Pop1	processing of precursor 1, ribonuclease P/MRP family, (S. cerevisiae)\
Ppm1e	protein phosphatase 1E (PP2C domain containing)\
Ppp2r5b	protein phosphatase 2, regulatory subunit B', beta\
Prmt9	protein arginine methyltransferase 9\
Prr16	proline rich 16\
Prrt4	proline-rich transmembrane protein 4\
Prrx2	paired related homeobox 2\
Prxl2b	peroxiredoxin like 2B\
Psmb10	proteasome (prosome, macropain) subunit, beta type 10\
Ptbp1	polypyrimidine tract binding protein 1\
Ptgds	prostaglandin D2 synthase (brain)\
Ptp4a3	protein tyrosine phosphatase 4a3\
Ptpn4	protein tyrosine phosphatase, non-receptor type 4\
Qprt	quinolinate phosphoribosyltransferase\
Rab6a	RAB6A, member RAS oncogene family\
Rad51d	RAD51 paralog D\
Radil	Ras association and DIL domains\
Rae1	ribonucleic acid export 1\
Ramp1	receptor (calcitonin) activity modifying protein 1\
Ranbp3l	RAN binding protein 3-like\
Rap1gap2	RAP1 GTPase activating protein 2\
Rassf5	Ras association (RalGDS/AF-6) domain family member 5\
Rassf7	Ras association (RalGDS/AF-6) domain family (N-terminal) member 7\
Rbm6	RNA binding motif protein 6\
Rcn1	reticulocalbin 1\
Reep6	receptor accessory protein 6\
Relt	RELT tumor necrosis factor receptor\
Rgs9	regulator of G-protein signaling 9\
Rhof	ras homolog family member F (in filopodia)\
Rilpl1	Rab interacting lysosomal protein-like 1\
Rin2	Ras and Rab interactor 2\
Rnasek	ribonuclease, RNase K\
Rnf182	ring finger protein 182\
Rnf19b	ring finger protein 19B\
Rnft1	ring finger protein, transmembrane 1\
Rom1	rod outer segment membrane protein 1\
Rorc	RAR-related orphan receptor gamma\
Rpgrip1l	Rpgrip1-like\
Rpl22	ribosomal protein L22\
Rpl32	ribosomal protein L32\
Rprml	reprimo-like\
Rps2	ribosomal protein S2\
Rtel1	regulator of telomere elongation helicase 1\
Sacm1l	SAC1 suppressor of actin mutations 1-like (yeast)\
Scamp4	secretory carrier membrane protein 4\
Scg3	secretogranin III\
Sdhaf2	succinate dehydrogenase complex assembly factor 2\
Sebox	SEBOX homeobox\
Sec62	SEC62 homolog (S. cerevisiae)\
Sema7a	sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A\
11. Sep	septin 11\
06. Sep	septin 6\
08. Sep	septin 8\
Serinc1	serine incorporator 1\
Serpinb6b	serine (or cysteine) peptidase inhibitor, clade B, member 6b\
Serpinb9	serine (or cysteine) peptidase inhibitor, clade B, member 9\
Setd7	SET domain containing (lysine methyltransferase) 7\
Sf3b2	splicing factor 3b, subunit 2\
Sfxn3	sideroflexin 3\
Sh3gl1	SH3-domain GRB2-like 1\
Sh3gl3	SH3-domain GRB2-like 3\
Shisa7	shisa family member 7\
Six4	sine oculis-related homeobox 4\
Slc13a4	solute carrier family 13 (sodium/sulfate symporters), member 4\
Slc22a6	solute carrier family 22 (organic anion transporter), member 6\
Slc25a21	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21\
Slc29a1	solute carrier family 29 (nucleoside transporters), member 1\
Slc35a5	solute carrier family 35, member A5\
Slc35b1	solute carrier family 35, member B1\
Slc38a10	solute carrier family 38, member 10\
Slc4a5	solute carrier family 4, sodium bicarbonate cotransporter, member 5\
Slc6a20a	solute carrier family 6 (neurotransmitter transporter), member 20A\
Slc8a1	solute carrier family 8 (sodium/calcium exchanger), member 1\
Slco2a1	solute carrier organic anion transporter family, member 2a1\
Slfn9	schlafen 9\
Slit3	slit guidance ligand 3\
Slitrk1	SLIT and NTRK-like family, member 1\
Slitrk2	SLIT and NTRK-like family, member 2\
Slitrk4	SLIT and NTRK-like family, member 4\
Smad1	SMAD family member 1\
Smarcd2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2\
Smim10l1	small integral membrane protein 10 like 1\
Smyd5	SET and MYND domain containing 5\
Snhg11	small nucleolar RNA host gene 11\
Sox12	SRY (sex determining region Y)-box 12\
Sox5	SRY (sex determining region Y)-box 5\
Sp2	Sp2 transcription factor\
Spag1	sperm associated antigen 1\
Spag17os	sperm associated antigen 17, opposite strand\
Spon1	spondin 1, (f-spondin) extracellular matrix protein\
Spp2	secreted phosphoprotein 2\
Sptssb	serine palmitoyltransferase, small subunit B\
St5	suppression of tumorigenicity 5\
Stap2	signal transducing adaptor family member 2\
Stat5b	signal transducer and activator of transcription 5B\
Stk16	serine/threonine kinase 16\
Stk17b	serine/threonine kinase 17b (apoptosis-inducing)\
Stx5a	syntaxin 5A\
Sv2b	synaptic vesicle glycoprotein 2 b\
Syde1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)\
Syn2	synapsin II\
Syt9	synaptotagmin IX\
Syvn1	synovial apoptosis inhibitor 1, synoviolin\
Taok3	TAO kinase 3\
Tbc1d25	TBC1 domain family, member 25\
Tceal7	transcription elongation factor A (SII)-like 7\
Tdg	thymine DNA glycosylase\
Tdo2	tryptophan 2,3-dioxygenase\
Tgfbi	transforming growth factor, beta induced\
Them4	thioesterase superfamily member 4\
Thnsl1	threonine synthase-like 1 (bacterial)\
Thsd7b	thrombospondin, type I, domain containing 7B\
Tle3	transducin-like enhancer of split 3\
Tlr4	toll-like receptor 4\
Tmc7	transmembrane channel-like gene family 7\
Tmed3	transmembrane p24 trafficking protein 3\
Tmem109	transmembrane protein 109\
Tmem120b	transmembrane protein 120B\
Tmem121	transmembrane protein 121\
Tmem145	transmembrane protein 145\
Tmem14a	transmembrane protein 14A\
Tmem229b	transmembrane protein 229B\
Tmem231	transmembrane protein 231\
Tmem30b	transmembrane protein 30B\
Tmem35a	transmembrane protein 35A\
Tmem51os1	Tmem51 opposite strand 1\
Tmem94	transmembrane protein 94\
Tmie	transmembrane inner ear\
Tmod3	tropomodulin 3\
Tmprss3	transmembrane protease, serine 3\
Tnfrsf11b	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)\
Tnfrsf12a	tumor necrosis factor receptor superfamily, member 12a\
Tnks1bp1	tankyrase 1 binding protein 1\
Tns3	tensin 3\
Tpbgl	trophoblast glycoprotein-like\
Tpra1	transmembrane protein, adipocyte asscociated 1\
Trim12c	tripartite motif-containing 12C\
Trim46	tripartite motif-containing 46\
Ttc14	tetratricopeptide repeat domain 14\
Ttc39a	tetratricopeptide repeat domain 39A\
Tubgcp4	tubulin, gamma complex associated protein 4\
Tunar	Tcl1 upstream neural differentiation associated RNA\
Txlna	taxilin alpha\
Txn1	thioredoxin 1\
Uaca	uveal autoantigen with coiled-coil domains and ankyrin repeats\
Ube2d1	ubiquitin-conjugating enzyme E2D 1\
Ubox5	U box domain containing 5\
Ubqln1	ubiquilin 1\
Upp1	uridine phosphorylase 1\
Ush1g	USH1 protein network component sans\
Usp33	ubiquitin specific peptidase 33\
Utrn	utrophin\
Vat1	vesicle amine transport 1\
Vegfc	vascular endothelial growth factor C\
Vps37d	vacuolar protein sorting 37D\
Vps51	VPS51 GARP complex subunit\
Wdr3	WD repeat domain 3\
Wdsub1	WD repeat, SAM and U-box domain containing 1\
Wfs1	wolframin ER transmembrane glycoprotein\
Wif1	Wnt inhibitory factor 1\
Wnt3	wingless-type MMTV integration site family, member 3\
Xkr6	X-linked Kx blood group related 6\
Zbtb24	zinc finger and BTB domain containing 24\
Zfp101	zinc finger protein 101\
Zfp105	zinc finger protein 105\
Zfp180	zinc finger protein 180\
Zfp266	zinc finger protein 266\
Zfp275	zinc finger protein 275\
Zfp281	zinc finger protein 281\
Zfp286	zinc finger protein 286\
Zfp41	zinc finger protein 41\
Zfp442	zinc finger protein 442\
Zfp612	zinc finger protein 612\
Zfp688	zinc finger protein 688\
Zfp839	zinc finger protein 839\
Zfp879	zinc finger protein 879\
Zfp933	zinc finger protein 933\
Zscan22	zinc finger and SCAN domain containing 22}
