Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl_ID
Bcl2a1b	current symbol	MGI:1278326	Bcl2a1b	B cell leukemia/lymphoma 2 related protein A1b	protein coding gene	ENSMUSG00000089929
Ccl6	current symbol	MGI:98263	Ccl6	C-C motif chemokine ligand 6	protein coding gene	ENSMUSG00000018927
Cd22	current symbol	MGI:88322	Cd22	CD22 antigen	protein coding gene	ENSMUSG00000030577
Cd300c2	rat symbol	MGI:3032626	Cd300c	CD300C molecule	protein coding gene	ENSMUSG00000058728
Cd300c2	current symbol	MGI:2153249	Cd300c2	CD300C molecule 2	protein coding gene	ENSMUSG00000044811
Cd37	current symbol	MGI:88330	Cd37	CD37 antigen	protein coding gene	ENSMUSG00000030798
Cd48	current symbol	MGI:88339	Cd48	CD48 antigen	protein coding gene	ENSMUSG00000015355
Cst7	current symbol	MGI:1298217	Cst7	cystatin F (leukocystatin)	protein coding gene	ENSMUSG00000068129
Cx3cr1	current symbol	MGI:1333815	Cx3cr1	C-X3-C motif chemokine receptor 1	protein coding gene	ENSMUSG00000052336
Cyba	current symbol	MGI:1316658	Cyba	cytochrome b-245, alpha polypeptide	protein coding gene	ENSMUSG00000006519
Dnajb1	current symbol	MGI:1931874	Dnajb1	DnaJ heat shock protein family (Hsp40) member B1	protein coding gene	ENSMUSG00000005483
Gfm2	current symbol	MGI:2444783	Gfm2	G elongation factor, mitochondrial 2	protein coding gene	ENSMUSG00000021666
Gpnmb	current symbol	MGI:1934765	Gpnmb	glycoprotein (transmembrane) nmb	protein coding gene	ENSMUSG00000029816
Hexb	current symbol	MGI:96074	Hexb	hexosaminidase B	protein coding gene	ENSMUSG00000021665
Hist3h2a	old symbol	MGI:2448458	H2ac25	H2A clustered histone 25	protein coding gene	ENSMUSG00000078851
Irf8	current symbol	MGI:96395	Irf8	interferon regulatory factor 8	protein coding gene	ENSMUSG00000041515
Itgax	rat synonym	MGI:3578624	Itgad	integrin, alpha D	protein coding gene	ENSMUSG00000070369
Itgax	current symbol	MGI:96609	Itgax	integrin alpha X	protein coding gene	ENSMUSG00000030789
Itgb5	current symbol	MGI:96614	Itgb5	integrin beta 5	protein coding gene	ENSMUSG00000022817
Lgals3bp	current symbol	MGI:99554	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein	protein coding gene	ENSMUSG00000033880
Lilrb4a	current symbol	MGI:102701	Lilrb4a	leukocyte immunoglobulin-like receptor, subfamily B, member 4A	protein coding gene	ENSMUSG00000112148
Lpcat2	current symbol	MGI:3606214	Lpcat2	lysophosphatidylcholine acyltransferase 2	protein coding gene	ENSMUSG00000033192
Lpcat2	zebrafish symbol	MGI:1918152	Lpcat2b	lysophosphatidylcholine acyltransferase 2B	protein coding gene	ENSMUSG00000033794
Lsp1	current symbol	MGI:96832	Lsp1	lymphocyte specific 1	protein coding gene	ENSMUSG00000018819
Ly86	current symbol	MGI:1321404	Ly86	lymphocyte antigen 86	protein coding gene	ENSMUSG00000021423
Mpeg1	current symbol	MGI:1333743	Mpeg1	macrophage expressed gene 1	protein coding gene	ENSMUSG00000046805
Mpeg1	human symbol	MGI:1860266	Pfpl	pore forming protein-like	protein coding gene	ENSMUSG00000040065
Myo1f	current symbol	MGI:107711	Myo1f	myosin IF	protein coding gene	ENSMUSG00000024300
Plek	current symbol	MGI:1860485	Plek	pleckstrin	protein coding gene	ENSMUSG00000020120
Prss50	current symbol	MGI:2447303	Prss50	serine protease 50	protein coding gene	ENSMUSG00000048752
Slamf9	current symbol	MGI:1923692	Slamf9	SLAM family member 9	protein coding gene	ENSMUSG00000026548
Trem2	current symbol	MGI:1913150	Trem2	triggering receptor expressed on myeloid cells 2	protein coding gene	ENSMUSG00000023992
Unc93b1	current symbol	MGI:1859307	Unc93b1	unc-93 homolog B1, TLR signaling regulator	protein coding gene	ENSMUSG00000036908
